country,confirmed,death,Recovered_sum,Active_sum
Afghanistan,41814,1548,34362,5904
Albania,22300,536,11578,10186
Algeria,59527,1999,41001,16527
Andorra,5045,75,3734,1236
Angola,11813,296,5266,6251
Antigua and Barbuda,130,3,118,9
Argentina,1205928,32520,1017647,155761
Armenia,97150,1448,58811,36891
Australia,27630,907,25418,1305
Austria,125099,1227,77036,46836
Azerbaijan,59509,780,45697,13032
Bahamas,6843,150,4701,1992
Bahrain,82624,327,79929,2368
Bangladesh,414164,6004,331697,76463
Barbados,239,7,224,8
Belarus,102313,995,88701,12617
Belgium,468213,12331,27334,428548
Belize,3905,64,2293,1548
Benin,2745,43,2455,247
Bhutan,358,0,329,29
Bolivia,142062,8758,112842,20462
Bosnia and Herzegovina,55598,1358,29389,24851
Botswana,6642,24,4676,1942
Brazil,5590025,161106,5078162,350757
Brunei,148,3,143,2
Bulgaria,64591,1466,21947,41178
Burkina Faso,2539,67,2319,153
Burma,56940,1330,40778,14832
Burundi,606,1,511,94
Cabo Verde,9053,95,8220,738
Cambodia,292,0,283,9
Cameroon,22103,429,21151,523
Canada,250698,10385,208815,NA
Central African Republic,4866,62,1924,2880
Chad,1517,99,1351,67
Chile,515042,14340,492149,NA
China,91509,4740,86241,528
Colombia,1108086,32013,1002202,73871
Comoros,554,7,517,30
Congo (Brazzaville),5348,92,3887,1369
Congo (Kinshasa),11450,315,10786,349
Costa Rica,113261,1431,69143,42687
Cote d'Ivoire,20778,126,20447,205
Croatia,56567,654,41070,14843
Cuba,7144,129,6394,621
Cyprus,5100,27,1882,3191
Czechia,378716,4133,199763,174820
Denmark,51042,729,37398,12915
Diamond Princess,712,13,659,40
Djibouti,5580,61,5472,47
Dominica,50,0,33,17
Dominican Republic,128278,2257,106304,19717
Ecuador,171433,12704,149048,9681
Egypt,108329,6318,99874,2137
El Salvador,34015,992,29788,3235
Equatorial Guinea,5089,83,4965,41
Eritrea,480,0,426,54
Estonia,5333,73,3954,1306
Eswatini,5955,117,5686,152
Ethiopia,97881,1503,56156,40222
Fiji,34,2,31,1
Finland,16930,361,12700,3869
France,1591152,38728,126195,1425555
Gabon,9005,55,8846,104
Gambia,3680,120,3504,56
Georgia,46817,381,31170,15266
Germany,608611,10949,384012,213650
Ghana,48643,320,47446,877
Greece,46892,673,23074,23145
Grenada,30,0,27,3
Guatemala,109147,3752,99167,6228
Guinea,12331,73,10698,1560
Guinea-Bissau,2414,42,1862,510
Guyana,4324,130,3394,800
Haiti,9100,232,7589,1279
Holy See,27,0,15,12
Honduras,99124,2730,42153,54241
Hungary,90988,2063,21232,67693
Iceland,4989,17,4174,798
India,8364086,124315,7711809,527962
Indonesia,421731,14259,353282,54190
Iran,646164,36579,500400,109185
Iraq,485870,11128,417235,57507
Ireland,63483,1930,23364,38189
Israel,317332,2597,305326,9409
Italy,790377,39764,307378,443235
Jamaica,9326,215,4704,4407
Japan,103928,1799,93564,8565
Jordan,91234,1029,8188,82017
Kazakhstan,114235,1857,107139,5239
Kenya,58587,1051,38381,19155
"Korea, South",27050,475,24735,1840
Kosovo,21545,714,15829,5002
Kuwait,128843,794,119742,8307
Kyrgyzstan,61309,1167,52343,7799
Laos,24,0,23,1
Latvia,6752,85,1444,5223
Lebanon,87097,676,45032,41389
Lesotho,1963,44,988,931
Liberia,1438,82,1301,55
Libya,64587,900,37610,26077
Liechtenstein,659,3,423,233
Lithuania,18092,182,5082,12828
Luxembourg,20344,171,11063,9110
Madagascar,17111,244,16409,458
Malawi,5934,184,5336,414
Malaysia,35425,271,24815,10339
Maldives,11822,38,10991,793
Mali,3609,137,2791,681
Malta,6590,65,4672,1853
Marshall Islands,2,0,0,2
Mauritania,7744,164,7443,137
Mauritius,452,10,416,26
Mexico,943630,93228,804887,45515
Moldova,78507,1851,58292,18364
Monaco,412,2,293,117
Mongolia,353,0,314,39
Montenegro,20851,326,14887,5638
Morocco,235310,3982,193886,37442
Mozambique,13283,95,10983,2205
MS Zaandam,9,2,0,7
Namibia,13046,133,11344,1569
Nepal,182923,1034,144978,36911
Netherlands,390120,7748,6007,376365
New Zealand,1973,25,1881,67
Nicaragua,5514,156,4225,1133
Niger,1225,69,1142,14
Nigeria,63328,1155,59675,2498
North Macedonia,35097,1071,22024,12002
Norway,22578,282,11863,10433
Oman,116847,1275,106903,8669
Pakistan,338875,6893,316665,15317
Panama,136024,2744,114207,19073
Papua New Guinea,597,7,580,10
Paraguay,65258,1454,45123,18681
Peru,911787,34671,832929,44187
Philippines,388137,7367,349091,31679
Poland,439536,6475,168960,264101
Portugal,156940,2694,88946,65300
Qatar,133370,232,130414,2724
Romania,267088,7419,186260,73409
Russia,1680579,28996,1259194,392389
Rwanda,5174,35,4930,209
Saint Kitts and Nevis,19,0,19,0
Saint Lucia,105,0,32,73
Saint Vincent and the Grenadines,75,0,71,4
San Marino,994,42,730,222
Sao Tome and Principe,958,16,907,35
Saudi Arabia,348936,5471,335594,7871
Senegal,15650,326,15245,79
Serbia,53495,850,0,52645
Seychelles,157,0,151,6
Sierra Leone,2369,74,1805,490
Singapore,58036,28,57938,70
Slovakia,66772,261,15474,51037
Slovenia,39408,441,15550,23417
Solomon Islands,13,0,4,9
Somalia,4229,107,3247,875
South Africa,730548,19585,660185,50778
South Sudan,2943,59,1290,1594
Spain,1284408,38118,150376,1095914
Sri Lanka,12187,24,5858,6305
Sudan,13943,837,6764,6342
Suriname,5220,112,5090,18
Sweden,137730,5997,0,131733
Switzerland,192376,2555,87100,102721
Syria,5964,301,2143,3520
Taiwan*,568,7,521,40
Tajikistan,11180,83,10438,659
Tanzania,509,21,183,305
Thailand,3810,59,3623,128
Timor-Leste,30,0,29,1
Togo,2406,57,1699,650
Trinidad and Tobago,5764,110,4993,661
Tunisia,64363,1512,5032,57819
Turkey,384509,10558,330665,43286
Uganda,13351,117,7623,5611
Ukraine,433492,7952,184141,241399
United Arab Emirates,137310,505,134983,1822
United Kingdom,1102305,47832,2925,1051548
Uruguay,3245,61,2770,414
US,9547694,234401,3743527,5508204
Uzbekistan,67779,577,65001,2201
Venezuela,93480,814,88326,4340
Vietnam,1203,35,1069,99
West Bank and Gaza,56090,504,48224,7362
Western Sahara,10,1,8,1
Yemen,2063,601,1375,87
Zambia,16698,349,15819,530
Zimbabwe,8427,248,7967,212
